"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","15","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","13.720245","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","157.459305","0","18"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","14.413238","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","0.741542","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","11.897909","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","6.524900","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","4.539546","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","100.090805","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","30","32","1","134.549515","0","32"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","24","24","1","87.810661","0","24"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","0.000000","0","63"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","26.454815","0","9"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","0","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","92","98","1","318.603424","0","98"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","13.825205","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","42.403900","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","4.457005","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","4.323371","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","0.000000","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","4.605967","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","0.000000","0","25"
"/Game/Assets/TutorialLevel/Materials/M_WallMat.M_WallMat","0","21","21","1","0.000000","0","21"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","110.702187","0","33"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","33","1","99.110085","0","33"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","54","54","1","73.716637","0","54"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","72.915321","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","34.537529","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","32.401676","0","9"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","20.910938","0","9"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","108.819275","0","46"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","7.444582","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","0.000000","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","112.158554","0","50"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","92","98","1","346.113220","0","98"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","0.000000","0","100"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","0.000000","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","0.000000","0","87"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","0","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","706","729","1","0.000000","0","729"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","109.708633","0","29"
"/Game/Assets/TutorialLevel/Light_Blueprint/Materials/M_LightTexture3.M_LightTexture3","0","12","12","1","0.000000","0","12"
"/Game/Assets/TutorialLevel/Materials/M_CeilingMat.M_CeilingMat","0","21","21","1","0.000000","0","21"
"/Game/Assets/workbench.workbench","0","21","21","1","0.000000","0","21"
"/Game/Assets/GrandfatherClock/Materials/Glass/Grandfather_Clock_Glass_Material.Grandfather_Clock_Glass_Material","0","31","31","1","0.000000","0","31"
"/Game/Assets/TutorialLevel/Doors/Narrow/Materials/M_DoorTexture7.M_DoorTexture7","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Bed_drawer_metall.M_Bed_drawer_metall","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Picture_frame.M_Picture_frame","0","21","21","1","0.000000","0","21"
"/Game/Assets/shelf.shelf","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Cupboard_Metall.M_Cupboard_Metall","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Chrome.M_Chrome","0","21","21","1","0.000000","0","21"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","36.514835","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","0.000000","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","25","27","1","0.000000","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","25","27","1","0.000000","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","0.000000","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","0.000000","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","345.571533","0","58"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","408.914398","0","84"
"/Game/Assets/Default_Material.Default_Material","0","12","12","1","0.000000","0","12"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","5.936217","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","5.194064","0","5"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","21","21","1","0.000000","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","41.394192","0","25"
"/Game/Puzzles/lock/wireleft.wireleft","0","21","21","1","0.000000","0","21"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","21","21","1","0.000000","0","21"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/Statue.Statue","0","12","12","1","0.000000","0","12"
"/Game/Plugs/Assets/Purdue.Purdue","0","12","12","1","0.000000","0","12"
"/Game/FreeFurniturePack/Materials/M_Classic_Leather_armchair.M_Classic_Leather_armchair","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/Bear/tripo_mat_4b211f51-73c5-4069-8c77-750be78d1e5f.tripo_mat_4b211f51-73c5-4069-8c77-750be78d1e5f","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/tripo_mat_39ed4f72-eaa5-48d3-bb6d-5d85cc5d9ee5.tripo_mat_39ed4f72-eaa5-48d3-bb6d-5d85cc5d9ee5","0","12","12","1","0.000000","0","12"
"/Game/EngineHall/Materials/M_Machines_Master.M_Machines_Master","0","54","54","1","0.000000","0","54"
"/Game/EngineHall/Materials/M_Railings.M_Railings","0","40","42","1","0.000000","0","42"
"/Game/Skybox/Space_SBmat.Space_SBmat","0","2","2","1","0.000000","0","2"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_2.M_Bed_Lamp_2","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_1.M_Bed_Lamp_1","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_TV.M_TV","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Office_Chair.M_Office_Chair","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/T_Table_Lamp.T_Table_Lamp","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/ef2844edb88f4881ebc221315e110af_Mat.ef2844edb88f4881ebc221315e110af_Mat","0","12","12","1","0.000000","0","12"
"/Game/FreeFurniturePack/Materials/M_Commode.M_Commode","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/Note3.Note3","0","12","12","1","0.000000","0","12"
"/Game/FreeFurniturePack/Materials/M_Coffee_Table.M_Coffee_Table","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Classic_Leather_sofa_2.M_Classic_Leather_sofa_2","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Classic_Leather_sofa.M_Classic_Leather_sofa","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Modern_Bed_2.M_Modern_Bed_2","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Art_2.M_Art_2","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Classic_Picture.M_Classic_Picture","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/note.note","0","12","12","1","0.000000","0","12"
"/Game/FreeFurniturePack/Materials/M_Elegant_chair.M_Elegant_chair","0","21","21","1","0.000000","0","21"
"/Game/FantasyInterior01/Materials/M_Assets.M_Assets","0","42","42","1","128.980042","0","42"
"/Game/FreeFurniturePack/Materials/M_Picture.M_Picture","0","21","21","1","0.000000","0","21"
"/Game/Plugs/Assets/textures/NewMaterial.NewMaterial","0","22","23","1","0.000000","0","23"
"/Game/FreeFurniturePack/Materials/M_Metall.M_Metall","0","21","21","1","0.000000","0","21"
"/Game/Assets/standardSurface1.standardSurface1","0","12","12","1","0.000000","0","12"
"/Game/Assets/TutorialLevel/Materials/M_FloorMat.M_FloorMat","0","21","21","1","0.000000","0","21"
"/Game/Assets/Materials3/aiStandardSurface26.aiStandardSurface26","0","12","12","1","0.000000","0","12"
"/Game/Assets/TutorialLevel/Materials/blinn1.blinn1","0","21","21","1","0.000000","0","21"
"/Game/Assets/TutorialLevel/Materials/aiStandardSurface27.aiStandardSurface27","0","21","21","1","0.000000","0","21"
"/Game/Assets/plug/Bear/Materials/Bear2.Bear2","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bear/Materials/nose3.nose3","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bear/Materials/paws1.paws1","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bear/Materials/Plug3.Plug3","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bear/Materials/snout1.snout1","0","12","12","1","0.000000","0","12"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_3.M_Bed_Lamp_3","0","21","21","1","0.000000","0","21"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_Glowing_Part.M_Bed_Lamp_Glowing_Part","0","21","21","1","0.000000","0","21"
"/Game/Assets/TutorialLevel/Materials/aiStandardSurface29.aiStandardSurface29","0","21","21","1","0.000000","0","21"
"/Game/Puzzles/lock/Puzzles/initialShadingGroup.initialShadingGroup","0","12","12","1","0.000000","0","12"
"/Game/Assets/GrandfatherClock/Materials/HandMat.HandMat","0","12","12","1","0.000000","0","12"
"/Game/Assets/Locker/Materials/M_lockerhinge_Main.M_lockerhinge_Main","0","12","12","1","0.000000","0","12"
"/Game/Assets/Locker/Materials/M_lockerhinge_Support.M_lockerhinge_Support","0","21","21","1","0.000000","0","21"
"/Game/Assets/TutorialLevel/Light_Blueprint/Materials/M_LightTexture2.M_LightTexture2","0","2","2","1","0.000000","0","2"
"/Game/Assets/TutorialLevel/Light_Blueprint/Materials/M_lightTexture1.M_lightTexture1","0","12","12","1","0.000000","0","12"
"/Game/Assets/Locker/Materials/M_locker.M_locker","0","21","21","1","0.000000","0","21"
"/Game/Assets/Spaceship/standardSurface1.standardSurface1","0","12","12","1","0.000000","0","12"
"/Game/Assets/TutorialLevel/Doors/Narrow/Materials/standardSurface14.standardSurface14","0","12","12","1","0.000000","0","12"
"/Game/Assets/TutorialLevel/Doors/Narrow/Materials/M_DoorTexture6.M_DoorTexture6","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bunny/Materials/Plug4.Plug4","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bunny/Materials/bunny_nose_outer1.bunny_nose_outer1","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bunny/Materials/bunny1.bunny1","0","12","12","1","0.000000","0","12"
"/Game/Assets/plug/Bunny/Materials/bunny_nose1.bunny_nose1","0","12","12","1","0.000000","0","12"
